,contry,Industry,Market_Cap,P_E,Avg_Volume,EPS_this_Y,EPS_next_Y,rating,Global_Company_Size,Founded,Revenue,Recommend_to_friend,Approve_of_CEO,inSNP500,Index
2022,1,17,1060000000.0,0,3970000.0,3.10,43.80,3.2,201 to 500 Employees,1991.0,$10 to $25 million (USD),2.2,3.75,0,NASD
2023,1,11,2009999999.9999998,1,230060.0,-41.00,13.52,3.2,5001 to 10000 Employees,1957.0,$100 to $500 million (USD),2.9,0.0,0,NASD
2024,1,15,48640000000.0,1,1970000.0,30.00,-26.54,4.1,1001 to 5000 Employees,1935.0,$2 to $5 billion (USD),3.85,4.45,1,NASD
2025,1,46,144830000.0,1,17290.0,208.30,225.93,3.0,501 to 1000 Employees,1993.0,$100 to $500 million (USD),2.9,3.1,0,NASD
2026,1,133,86360000000.0,0,9570000.0,470.60,5.17,3.8,5001 to 10000 Employees,1919.0,$10+ billion (USD),3.3,4.5,1,NYSE
2027,1,11,806870000.0,0,319570.0,39.50,14.10,3.5,5001 to 10000 Employees,1916.0,$1 to $2 billion (USD),3.6,3.6,0,NYSE
2028,1,121,1260000000.0,1,284240.0,32.90,68.78,3.7,501 to 1000 Employees,1999.0,$100 to $500 million (USD),3.8,4.35,0,NYSE
2029,1,77,2300000000.0,1,72500.0,-436.60,-3.17,2.7,10000+ Employees,1986.0,$100 to $500 million (USD),1.65,5.0,0,NASD
2030,1,13,453750000.0,1,35180.0,40.21,-23.58,3.6,501 to 1000 Employees,1934.0,$2 to $5 billion (USD),3.55,3.95,0,NASD
2031,1,1,2630000000.0,0,98370.0,677.48,-26.54,4.4,10000+ Employees,1951.0,$2 to $5 billion (USD),4.55,4.75,0,NYSE
2032,1,57,14130000000.0,0,294670.0,-2.60,23.32,3.6,10000+ Employees,1980.0,$10+ billion (USD),3.35,4.4,0,NYSE
2033,0,70,2990000000.0,1,2860000.0,677.48,415.00,4.0,1 to 50 Employees,1996.0,$100 to $500 million (USD),5.0,5.0,0,NASD
2034,0,17,2540000000.0,0,63450.0,-284.40,52.40,3.5,201 to 500 Employees,1996.0,$100 to $500 million (USD),3.65,5.0,0,NASD
2035,1,17,2210000000.0,0,187250.0,40.20,399.64,5.0,1 to 50 Employees,1996.0,$100 to $500 million (USD),5.0,5.0,0,NASD
2036,1,49,10310000000.0,0,126630.0,47.10,444.50,4.2,5001 to 10000 Employees,1984.0,$1 to $2 billion (USD),4.3,4.8,0,NASD
2037,1,2,11310000000.0,0,5680000.0,160.60,-12.80,3.8,5001 to 10000 Employees,2004.0,$5 to $10 billion (USD),3.75,3.6,1,NYSE
2038,1,119,56750000.0,0,6260000.0,-10.50,0.00,3.5,1 to 50 Employees,1991.0,$5 to $10 million (USD),3.35,5.0,0,NASD
2039,1,75,670650000.0,1,183640.0,-386.00,1.38,3.9,1001 to 5000 Employees,1967.0,$500 million to $1 billion (USD),3.65,4.4,0,NYSE
2040,1,11,423800000.0,0,61820.0,7.40,23.64,3.4,1001 to 5000 Employees,1968.0,$100 to $500 million (USD),2.5,4.35,0,NASD
2041,1,13,305490000.0,1,46010.0,48.90,373.30,4.0,201 to 500 Employees,1991.0,$25 to $50 million (USD),3.5,4.45,0,NASD
2042,1,88,38580000000.0,0,7080000.0,-716.80,249.55,3.7,10000+ Employees,1887.0,$10+ billion (USD),3.2,3.25,1,NYSE
2043,1,57,6080000000.0,0,2089999.9999999998,550.00,320.50,4.0,1001 to 5000 Employees,1980.0,$100 to $500 million (USD),4.2,4.45,0,NYSE
