,contry,Industry,Market_Cap,P_E,Avg_Volume,EPS_this_Y,EPS_next_Y,rating,Global_Company_Size,Founded,Revenue,Recommend_to_friend,Approve_of_CEO,inSNP500,Index
886,1,91,1120000000.0,0,110710.0,895.36,415.00,4.0,1001 to 5000 Employees,1924.0,$1 to $2 billion (USD),4.0,5.0,0,NASD
887,1,88,2140000000.0000002,1,941990.0,-167.40,162.00,2.8,1001 to 5000 Employees,2006.0,$2 to $5 billion (USD),2.25,3.9,0,NYSE
888,1,136,332270000.0,1,76720.0,-390.50,6.65,3.3,1 to 50 Employees,1996.0,$100 to $500 million (USD),5.0,5.0,0,NASD
889,1,121,3590000000.0,0,367890.0,-438.30,21.25,3.6,1001 to 5000 Employees,1996.0,$500 million to $1 billion (USD),3.35,4.05,0,NASD
890,1,13,198000000.0,1,28910.0,-54.20,0.00,3.6,201 to 500 Employees,1864.0,$1 to $2 billion (USD),3.45,5.0,0,NASD
891,1,17,940230000.0,1,977000.0,-16.00,285.63,4.3,1 to 50 Employees,1996.0,Less than $1 million (USD),5.0,5.0,0,AMEX
892,1,71,49260000000.0,0,1480000.0,-7.60,61.80,3.5,5001 to 10000 Employees,2013.0,$100 to $500 million (USD),3.1,4.1,0,NYSE
893,1,134,25220000.0,0,5390.0,708.50,290.30,4.0,201 to 500 Employees,1927.0,$25 to $50 million (USD),5.0,5.0,0,AMEX
894,1,1,41710000.0,0,98600.0,70.50,26.67,3.1,201 to 500 Employees,1980.0,$50 to $100 million (USD),2.0,5.0,0,AMEX
895,1,126,28480000.0,0,35190.0,5.10,0.00,3.5,51 to 200 Employees,1982.0,$10 to $25 million (USD),4.0,4.85,0,NASD
896,1,86,199570000000.0,1,9770000.0,-291.90,285.63,4.1,10000+ Employees,1879.0,$10+ billion (USD),4.15,4.5,1,NYSE
897,1,126,4860000000.0,1,183570.0,-32.90,9.59,3.6,10000+ Employees,1929.0,$2 to $5 billion (USD),3.3,3.45,0,NYSE
898,1,143,5190000000.0,0,211070.0,313.60,25.45,3.2,501 to 1000 Employees,2018.0,$100 to $500 million (USD),2.85,4.3,0,NYSE
899,1,111,3280000000.0,1,1280000.0,290.30,-4.10,3.0,10000+ Employees,1966.0,$2 to $5 billion (USD),2.25,2.65,0,NYSE
900,1,110,3900000000.0,0,894370.0,44.40,30.81,3.8,10000+ Employees,1917.0,$100 to $500 million (USD),3.7,4.4,0,NYSE
901,1,142,2800000000.0,0,211530.0,86.20,4.96,3.6,1001 to 5000 Employees,1926.0,$500 million to $1 billion (USD),3.85,5.0,0,NYSE
902,0,19,11340000000.0,1,8470000.0,180.00,385.20,4.0,10000+ Employees,1996.0,$10+ billion (USD),3.95,4.45,0,NYSE
903,1,130,102950000.0,1,33110.0,522.70,66.67,3.3,51 to 200 Employees,1995.0,$10 to $25 million (USD),2.5,3.2,0,NASD
904,1,106,1330000000.0,0,2440000.0,-71.70,0.00,2.8,10000+ Employees,1983.0,$100 to $500 million (USD),2.25,3.05,0,NYSE
905,1,91,18180000.0,0,296870.0,110.50,0.00,3.8,51 to 200 Employees,1996.0,$25 to $50 million (USD),3.4,3.4,0,NASD
906,1,116,254160000.0,0,81140.0,-622.80,25.72,2.5,51 to 200 Employees,1984.0,$50 to $100 million (USD),1.2,0.0,0,NASD
907,0,122,5510000000.0,1,463700.0,90.25,352.50,4.4,1001 to 5000 Employees,1999.0,$100 to $500 million (USD),4.45,4.8,0,NASD
908,1,17,57070000.0,0,140790.0,65.30,334.80,4.0,1 to 50 Employees,1996.0,$1 to $5 million (USD),5.0,5.0,0,NASD
909,1,17,132770000.00000001,0,1260000.0,43.00,23.70,3.7,51 to 200 Employees,2018.0,$5 to $10 million (USD),3.2,5.0,0,NASD
910,0,126,722590000.0,0,29080.0,-9.30,6.34,3.0,1001 to 5000 Employees,1996.0,$2 to $5 billion (USD),5.0,5.0,0,NYSE
911,0,76,1430000000.0,1,509220.0,90.25,498.50,4.4,51 to 200 Employees,1996.0,$100 to $500 million (USD),4.0,5.0,0,NYSE
912,1,41,53640000.0,0,42480.0,-230.50,11.10,2.5,51 to 200 Employees,1969.0,$25 to $50 million (USD),1.6,2.95,0,NASD
913,1,27,295540000.0,0,178830.0,150.80,13.79,3.9,1001 to 5000 Employees,1968.0,$500 million to $1 billion (USD),3.8,4.2,0,NASD
914,1,3,28620000000.0,0,11270000.0,708.50,498.50,4.4,10000+ Employees,1928.0,$10+ billion (USD),4.55,4.75,1,NYSE
915,1,11,3280000000.0,1,1010000.0,-113.80,34.75,3.4,10000+ Employees,1904.0,$5 to $10 billion (USD),3.35,4.05,0,NYSE
916,0,70,2980000000.0,0,425190.0,708.50,498.50,4.4,201 to 500 Employees,1996.0,$100 to $500 million (USD),5.0,5.0,0,NYSE
917,1,121,979710000.0,0,616490.0,22.10,17.22,3.6,10000+ Employees,1859.0,$2 to $5 billion (USD),3.4,4.35,0,NYSE
918,1,7,1120000000.0,0,1370000.0,-634.40,107.58,3.7,10000+ Employees,1991.0,Less than $1 million (USD),3.75,5.0,0,NYSE
919,1,126,7570000000.0,0,492880.0,-8.70,15.56,3.8,10000+ Employees,1915.0,$2 to $5 billion (USD),4.0,4.5,0,NYSE
920,1,1,612380000.0,1,49950.0,-11.20,25.23,3.2,1001 to 5000 Employees,1849.0,$500 million to $1 billion (USD),2.3,3.4,0,NYSE
921,1,13,1340000000.0,1,144380.0,-11.90,72.18,3.4,201 to 500 Employees,1864.0,$100 to $500 million (USD),3.25,3.7,0,NASD
922,1,87,5880000000.0,1,693830.0,-67.70,22.82,3.4,1001 to 5000 Employees,2005.0,$5 to $10 billion (USD),2.8,3.75,0,NYSE
923,1,17,2100000000.0,1,427030.0,-6.50,399.64,4.1,51 to 200 Employees,2003.0,$1 to $5 million (USD),3.05,5.0,0,NASD
924,1,103,6160000000.0,0,1310000.0,-86.50,105.51,3.6,501 to 1000 Employees,1971.0,$500 million to $1 billion (USD),3.85,4.4,0,NYSE
925,1,27,75140000000.0,0,2410000.0,-31.10,373.30,4.2,10000+ Employees,1984.0,$10+ billion (USD),4.35,4.7,0,NYSE
926,1,84,3590000000.0,1,1020000.0,117.00,106.02,3.2,1001 to 5000 Employees,1990.0,$500 million to $1 billion (USD),2.45,2.1,0,NYSE
927,1,115,1050000000.0,1,481250.0,-104.40,69.95,3.4,5001 to 10000 Employees,1953.0,$100 to $500 million (USD),2.75,3.35,0,NASD
928,0,16,112050000000.0,0,392820.0,-54.00,352.50,4.1,10000+ Employees,1997.0,$10+ billion (USD),4.05,4.8,0,NYSE
929,1,17,72500000.0,0,1720000.0,83.00,471.95,4.2,10000+ Employees,1939.0,$100 to $500 million (USD),4.35,4.7,0,NASD
930,1,113,2330000000.0,0,177860.0,116.90,36.09,3.0,201 to 500 Employees,2009.0,$100 to $500 million (USD),2.7,3.65,0,NASD
931,1,22,961700000.0,1,233470.0,-169.70,4.56,3.1,1001 to 5000 Employees,2016.0,$100 to $500 million (USD),2.4,3.2,0,NYSE
932,1,33,34520000000.0,0,2130000.0,-60.40,12.50,3.9,1001 to 5000 Employees,1985.0,$25 to $50 million (USD),3.85,4.4,1,NYSE
933,1,65,455790000.0,0,66050.0,9.40,6.81,3.5,501 to 1000 Employees,1889.0,$500 million to $1 billion (USD),3.0,4.4,0,NASD
934,1,26,642040000.0,1,203260.0,-18.40,106.55,3.3,501 to 1000 Employees,1985.0,$100 to $500 million (USD),2.55,3.1,0,NASD
935,1,117,91610000.0,0,4490000.0,86.10,0.00,3.0,51 to 200 Employees,1996.0,$10 to $25 million (USD),2.05,2.35,0,NASD
936,1,35,16770000000.0,0,1180000.0,70.70,-27.88,3.5,10000+ Employees,1967.0,$5 to $10 billion (USD),3.3,4.1,1,NYSE
937,1,113,32100000000.0,0,3220000.0,49.50,12.28,3.5,5001 to 10000 Employees,1978.0,$10+ billion (USD),2.8,4.2,1,NYSE
938,1,8,539960000.0,1,10630.0,-24.80,0.00,3.8,51 to 200 Employees,2000.0,$25 to $50 million (USD),3.1,3.45,0,NASD
939,1,35,182730000000.0,1,2470000.0,49.80,365.90,4.0,10000+ Employees,1984.0,$10+ billion (USD),3.7,4.4,1,NYSE
940,1,128,138850000.0,1,166540.0,-355.80,150.48,4.1,201 to 500 Employees,2007.0,$100 to $500 million (USD),3.75,4.05,0,NYSE
941,1,115,1460000000.0,0,281490.0,-210.00,11.52,3.6,501 to 1000 Employees,2007.0,$500 million to $1 billion (USD),3.2,3.05,0,NYSE
942,1,119,3320000000.0,0,288470.0,-36.30,7.24,3.0,1001 to 5000 Employees,1959.0,$500 million to $1 billion (USD),2.15,1.85,0,NASD
943,1,45,311850000000.0,0,8740000.0,500.20,444.50,4.0,10000+ Employees,1923.0,$10+ billion (USD),4.05,3.85,1,NYSE
944,1,45,14060000000.0,1,16230000.0,-37.10,16.45,3.9,10000+ Employees,1985.0,$5 to $10 billion (USD),3.85,4.25,1,NASD
945,1,45,1330000000.0,1,9250000.0,-11.60,14.10,3.9,10000+ Employees,1985.0,$5 to $10 billion (USD),3.85,4.25,1,NASD
946,1,45,21110000000.0,1,3440000.0,15.90,-18.71,3.1,10000+ Employees,1980.0,$10+ billion (USD),2.3,2.65,1,NASD
947,1,50,80170000.0,1,670.0,-107.40,0.00,2.9,501 to 1000 Employees,1981.0,$1 to $2 billion (USD),2.35,2.5,0,AMEX
948,1,97,467170000.0,0,4690.0,-116.00,0.00,2.4,201 to 500 Employees,1987.0,$25 to $50 million (USD),1.3,1.2,0,NASD
949,1,88,1560000000.0,0,822430.0,-312.90,152.40,3.2,1001 to 5000 Employees,2001.0,$10+ billion (USD),3.05,3.05,0,NYSE
950,1,53,19460000000.0,0,17390000.0,708.50,150.48,4.4,1001 to 5000 Employees,2012.0,$100 to $500 million (USD),4.6,4.9,0,NASD
951,1,127,7960000000.0,0,1790000.0,71.40,-17.82,3.7,10000+ Employees,1948.0,$5 to $10 billion (USD),3.7,4.5,0,NYSE
952,1,6,203060000.0,1,26810.0,-231.00,11.94,2.3,5001 to 10000 Employees,1999.0,$100 to $500 million (USD),0.6,3.35,0,AMEX
953,1,45,9760000000.0,1,454280.0,-34.20,399.64,4.3,1001 to 5000 Employees,1965.0,$1 to $2 billion (USD),4.4,4.55,0,NYSE
954,1,103,43890000000.0,0,1300000.0,708.50,462.10,4.4,1001 to 5000 Employees,2004.0,$1 to $2 billion (USD),4.35,4.75,1,NYSE
955,1,7,530710000.00000006,1,210500.0,-28.10,40.85,3.7,1001 to 5000 Employees,1989.0,$500 million to $1 billion (USD),3.1,4.05,0,NASD
956,1,36,22930000000.0,0,2000000.0,62.90,13.97,3.2,10000+ Employees,1996.0,$10+ billion (USD),2.35,2.8,1,NASD
957,1,0,1770000000.0,1,241080.0,104.50,4.99,3.4,5001 to 10000 Employees,1915.0,$1 to $2 billion (USD),3.0,3.5,0,NYSE
958,1,27,3190000000.0,0,4099999.9999999995,-396.10,285.63,4.3,201 to 500 Employees,2015.0,$100 to $500 million (USD),4.2,4.25,0,NYSE
959,1,84,552760000.0,1,60490.0,-59.20,0.00,3.3,1 to 50 Employees,1996.0,$25 to $50 million (USD),2.8,5.0,0,NASD
960,1,61,528700000.00000006,1,160620.0,-22.10,13.30,3.4,201 to 500 Employees,1995.0,$10 to $25 million (USD),2.9,3.45,0,NASD
961,1,0,597020000.0,1,77320.0,-32.20,373.30,4.2,10000+ Employees,1939.0,$100 to $500 million (USD),4.35,4.7,0,NYSE
962,1,35,1310000000.0,0,1180000.0,26.10,-10.40,3.3,51 to 200 Employees,1995.0,$1 to $5 million (USD),3.1,5.0,0,NASD
963,1,61,9020000000.0,0,1820000.0,65.10,11.70,3.5,1001 to 5000 Employees,1841.0,$100 to $500 million (USD),2.85,3.8,0,NYSE
964,1,17,8840000000.0,0,512500.0,130.50,-12.60,3.7,51 to 200 Employees,1996.0,Less than $1 million (USD),3.35,5.0,0,NASD
965,1,125,1950000000.0,1,2980000.0,50.00,60.00,3.9,51 to 200 Employees,1996.0,$100 to $500 million (USD),5.0,5.0,0,NYSE
966,1,99,4059999999.9999995,1,2060000.0,895.36,485.30,4.7,1 to 50 Employees,1996.0,$100 to $500 million (USD),5.0,5.0,0,NYSE
967,1,122,4990000000.0,1,565050.0,708.50,650.87,4.5,501 to 1000 Employees,2012.0,$100 to $500 million (USD),4.6,4.7,0,NYSE
968,1,121,51370000000.0,0,2920000.0,500.20,462.10,4.6,5001 to 10000 Employees,2003.0,$1 to $2 billion (USD),4.6,4.9,0,NASD
969,0,59,55080000.0,0,976630.0,-694.30,525.00,1.0,1001 to 5000 Employees,2003.0,$100 to $500 million (USD),0.0,5.0,0,NASD
970,1,121,2420000000.0,0,399230.0,36.80,352.50,4.4,501 to 1000 Employees,2010.0,$100 to $500 million (USD),4.25,4.45,0,NASD
971,1,20,2660000000.0,1,126700.0,57.90,15.35,3.4,5001 to 10000 Employees,1928.0,$2 to $5 billion (USD),3.3,4.55,0,NYSE
972,1,11,3130000000.0,1,114870.0,28.80,10.63,3.2,1001 to 5000 Employees,1918.0,$500 million to $1 billion (USD),2.6,3.6,0,NASD
973,1,126,20380000000.0,1,658930.0,1.90,8.90,3.4,10000+ Employees,1955.0,$5 to $10 billion (USD),2.95,4.35,1,NYSE
974,1,23,46290000000.0,1,4410000.0,167.40,285.63,4.1,10000+ Employees,1897.0,$10+ billion (USD),4.2,4.35,1,NYSE
975,1,122,10170000000.0,1,844830.0,6.80,8.70,3.8,10000+ Employees,1982.0,$2 to $5 billion (USD),4.05,4.5,0,NASD
976,0,70,2690000000.0,1,2740000.0,500.20,324.50,4.0,1001 to 5000 Employees,1996.0,$100 to $500 million (USD),0.0,5.0,0,NASD
977,1,115,17690000000.0,1,585690.0,29.70,15.52,3.5,10000+ Employees,1960.0,$1 to $2 billion (USD),3.1,3.5,1,NYSE
978,0,118,4370000000.0,1,2670000.0,324.50,420.12,4.0,1001 to 5000 Employees,1996.0,$1 to $2 billion (USD),5.0,5.0,0,NYSE
979,0,54,903000000.0,1,266600.0,601.80,312.85,5.0,1 to 50 Employees,1996.0,$100 to $500 million (USD),5.0,5.0,0,NYSE
980,1,101,17990000000.0,1,1910000.0,708.50,319.20,4.0,201 to 500 Employees,1972.0,$500 million to $1 billion (USD),3.35,5.0,1,NYSE
981,1,100,2080000000.0,1,1830000.0,500.20,399.64,5.0,1 to 50 Employees,1996.0,$500 million to $1 billion (USD),5.0,5.0,0,NYSE
982,1,35,341180000.0,1,269670.0,39.80,650.87,4.7,51 to 200 Employees,1996.0,$100 to $500 million (USD),4.8,5.0,0,NASD
983,1,17,2500000000.0,1,736450.0,13.70,373.30,4.6,51 to 200 Employees,2007.0,$100 to $500 million (USD),4.75,4.95,0,NASD
984,1,85,1290000000.0,0,211630.0,-300.00,120.00,3.5,1001 to 5000 Employees,1981.0,$500 million to $1 billion (USD),2.25,3.35,0,NYSE
985,1,38,393230000.0,1,779340.0,-40.10,-160.00,2.6,51 to 200 Employees,1998.0,$10 to $25 million (USD),1.65,0.0,0,NASD
986,1,9,4760000000.0,0,495120.0,-154.30,17.91,2.5,1001 to 5000 Employees,2006.0,$100 to $500 million (USD),1.85,2.15,0,NASD
987,1,72,321330000.0,0,2560000.0,-2.30,-4.00,2.9,1001 to 5000 Employees,1996.0,$100 to $500 million (USD),1.7,0.7,0,NYSE
988,0,94,5270000000.0,0,1150000.0,64.70,25.61,3.6,5001 to 10000 Employees,1996.0,$2 to $5 billion (USD),3.1,4.2,0,NASD
989,0,121,5580000000.0,0,88410.0,36.10,352.50,4.2,1001 to 5000 Employees,1981.0,$100 to $500 million (USD),4.25,4.9,0,NASD
990,1,136,437330000.0,1,466030.0,99.80,194.74,1.9,1001 to 5000 Employees,1996.0,$100 to $500 million (USD),0.0,5.0,0,NASD
991,1,121,1680000000.0,0,378090.0,133.60,308.90,4.0,5001 to 10000 Employees,2007.0,$500 million to $1 billion (USD),3.35,4.5,0,NASD
992,1,119,365920000.0,1,160560.0,500.20,285.63,4.4,201 to 500 Employees,1987.0,$100 to $500 million (USD),4.95,4.95,0,NASD
993,1,124,46030000.0,1,3270000.0,119.40,19.40,3.6,51 to 200 Employees,1984.0,$10 to $25 million (USD),0.0,5.0,0,AMEX
994,0,76,438300000.0,1,1250000.0,848.96,485.30,4.4,51 to 200 Employees,1996.0,$100 to $500 million (USD),5.0,5.0,0,NYSE
995,1,121,15900000000.0,0,1550000.0,116.90,150.48,4.4,1001 to 5000 Employees,2005.0,$100 to $500 million (USD),4.5,4.8,0,NYSE
996,1,140,25450000000.0,0,920760.0,12.20,150.48,4.1,10000+ Employees,1903.0,$10+ billion (USD),3.9,4.6,1,NYSE
997,0,91,131169999.99999999,0,271300.0,-82.10,0.00,3.6,1001 to 5000 Employees,2008.0,$100 to $500 million (USD),2.85,1.5,0,NASD
998,1,17,615740000.0,0,643790.0,5.30,498.00,4.9,201 to 500 Employees,2006.0,$100 to $500 million (USD),4.85,5.0,0,NASD
999,1,61,25530000.0,0,60370.0,196.70,650.87,4.0,1 to 50 Employees,1996.0,$1 to $5 million (USD),3.3,5.0,0,NASD
1000,1,140,76460000000.0,1,3520000.0,848.96,226.50,4.0,10000+ Employees,1917.0,$10+ billion (USD),4.05,4.25,1,NYSE
1001,1,121,37710000.0,0,30380.0,-46.50,0.00,1.8,51 to 200 Employees,1996.0,$10 to $25 million (USD),1.1,2.0,0,NASD
1002,1,121,5790000000.0,1,663990.0,-12.20,71.37,3.9,201 to 500 Employees,2008.0,$100 to $500 million (USD),3.8,5.0,0,NYSE
1003,1,77,12870000000.0,1,643190.0,39.30,12.35,3.5,10000+ Employees,1994.0,$1 to $2 billion (USD),3.25,4.2,1,NYSE
1004,1,17,1040000000.0,1,2740000.0,65.50,-1.47,3.0,201 to 500 Employees,1996.0,$10 to $25 million (USD),2.6,3.25,0,NASD
1005,1,72,84890000.0,1,27960.0,36.50,0.00,3.1,51 to 200 Employees,1996.0,$25 to $50 million (USD),2.35,3.65,0,NYSE
1006,1,84,18170000000.0,1,11150000.0,2544.40,31.65,3.9,5001 to 10000 Employees,1996.0,$10+ billion (USD),3.25,2.65,1,NYSE
1007,1,85,60870000.0,0,39180.0,14.00,498.50,4.3,1001 to 5000 Employees,1996.0,$100 to $500 million (USD),3.95,5.0,0,NASD
1008,1,102,595350000.0,0,463170.0,198.80,399.64,5.0,1 to 50 Employees,1996.0,$100 to $500 million (USD),5.0,5.0,0,NYSE
1009,1,61,9210000000.0,1,2390000.0,97.10,21.65,3.3,10000+ Employees,2017.0,$10+ billion (USD),2.95,4.0,1,NYSE
1010,1,35,40330000000.0,1,769320.0,362.20,150.48,4.1,5001 to 10000 Employees,1999.0,$1 to $2 billion (USD),4.0,4.5,1,NASD
1011,1,60,542920000.0,0,84100.0,-183.30,0.00,3.1,1001 to 5000 Employees,1908.0,$1 to $2 billion (USD),2.75,3.35,0,NASD
1012,1,8,48880000.0,0,18820.0,-227.50,0.00,1.6,1 to 50 Employees,1996.0,$1 to $5 million (USD),1.05,0.0,0,AMEX
1013,1,40,3070000000.0,0,2910000.0,-37.10,25.73,2.9,201 to 500 Employees,1993.0,Less than $1 million (USD),2.05,2.75,0,NYSE
1014,1,78,1390000000.0,1,575560.0,-51.60,352.50,4.3,201 to 500 Employees,2010.0,$100 to $500 million (USD),4.1,4.3,0,NASD
1015,0,17,41200000.0,0,3700000.0,40.20,0.00,3.7,201 to 500 Employees,2007.0,$25 to $50 million (USD),3.3,4.2,0,NASD
1016,1,16,33750000.0,0,289570.0,32.00,373.30,4.1,1 to 50 Employees,1996.0,$1 to $5 million (USD),2.95,5.0,0,NASD
1017,1,115,2540000000.0,0,1030000.0,-84.20,61.40,3.7,10000+ Employees,1975.0,$2 to $5 billion (USD),3.5,4.45,0,NYSE
1018,1,121,1790000000.0,1,1340000.0,500.20,373.30,4.0,501 to 1000 Employees,2006.0,$100 to $500 million (USD),3.8,3.8,0,NYSE
1019,1,71,42850000000.0,0,7590000.0,99.90,354.50,4.0,10000+ Employees,1995.0,$10+ billion (USD),3.85,4.4,1,NASD
1020,1,13,3990000000.0,0,985800.0,-83.20,312.85,4.1,1001 to 5000 Employees,1989.0,$500 million to $1 billion (USD),4.15,4.7,0,NASD
1021,1,21,531070000.00000006,0,97840.0,-37.00,0.00,2.9,1001 to 5000 Employees,1909.0,$100 to $500 million (USD),2.1,2.2,0,NYSE
1022,1,121,956960000.0,0,397630.0,-4.40,27.15,3.0,5001 to 10000 Employees,1967.0,$100 to $500 million (USD),2.15,1.9,0,NASD
1023,0,140,14120000000.0,0,1050000.0,-19.20,352.50,4.2,10000+ Employees,1996.0,$10+ billion (USD),4.55,5.0,0,NYSE
1024,0,140,14010000000.0,0,32680.0,-19.20,285.63,4.2,10000+ Employees,1996.0,$10+ billion (USD),4.55,5.0,0,NYSE
1025,1,38,3350000000.0,0,830260.0,445.20,-37.22,3.3,1001 to 5000 Employees,1998.0,$1 to $2 billion (USD),3.05,3.9,0,NYSE
1026,1,13,1080000000.0,0,359280.0,-0.80,50.20,3.5,51 to 200 Employees,1996.0,$50 to $100 million (USD),2.7,5.0,0,NASD
1027,1,13,407320000.0,1,14400.0,-8.70,630.45,4.2,201 to 500 Employees,1988.0,$50 to $100 million (USD),4.85,5.0,0,NASD
1028,0,86,26460000000.0,0,1010000.0,-87.30,373.30,4.3,5001 to 10000 Employees,1996.0,$10+ billion (USD),4.25,4.95,0,NYSE
1029,1,80,78780000.0,0,670270.0,-60.80,19.00,2.5,1 to 50 Employees,1996.0,$1 to $5 million (USD),1.35,5.0,0,NASD
1030,1,82,1460000000.0,0,268800.0,25.30,-7.20,3.7,5001 to 10000 Employees,1953.0,$1 to $2 billion (USD),3.3,4.0,0,NASD
1031,1,140,25470000000.0,1,2069999.9999999998,-19.50,6.27,3.9,10000+ Employees,1997.0,$10+ billion (USD),4.2,4.4,1,NYSE
1032,0,78,193390000.0,1,267060.0,708.50,471.95,5.0,1 to 50 Employees,1996.0,$25 to $50 million (USD),5.0,5.0,0,NASD
1033,1,17,2400000000.0,0,1330000.0,-26.00,-3.70,2.7,201 to 500 Employees,2013.0,$50 to $100 million (USD),1.6,0.0,0,NASD
1034,1,45,11670000000.0,0,1940000.0,-19.30,152.02,3.5,1001 to 5000 Employees,1898.0,$100 to $500 million (USD),2.85,3.6,0,NYSE
1035,0,39,13270000000.0,1,27750000.0,73.10,51.03,3.9,10000+ Employees,1993.0,$50 to $100 million (USD),3.1,4.85,0,NYSE
1036,1,97,111770000.0,1,26690.0,120.90,0.00,3.1,201 to 500 Employees,1965.0,$100 to $500 million (USD),2.7,2.6,0,NASD
1037,1,122,7510000000.0,0,346530.0,-101.10,70.23,3.6,5001 to 10000 Employees,1994.0,$1 to $2 billion (USD),3.15,4.75,0,NASD
1038,1,0,363370000.0,0,163540.0,28.60,-1.39,3.6,201 to 500 Employees,2013.0,$1 to $5 million (USD),3.4,5.0,0,NYSE
1039,1,52,15540000.0,0,1070000.0,-38.90,0.00,2.6,1 to 50 Employees,1985.0,$10 to $25 million (USD),2.0,4.05,0,NASD
1040,1,13,1430000000.0,0,154770.0,-22.30,352.50,4.3,501 to 1000 Employees,1994.0,$5 to $10 billion (USD),4.25,4.45,0,NASD
1041,1,30,28090000000.0,1,704320.0,228.40,19.19,3.6,10000+ Employees,1899.0,$2 to $5 billion (USD),3.35,4.25,1,NYSE
1042,1,121,339940000.0,0,202810.0,64.30,-9.86,3.5,501 to 1000 Employees,1997.0,$50 to $100 million (USD),3.1,3.85,0,NASD
1043,1,13,1710000000.0,0,136380.0,-2.20,-6.38,3.7,201 to 500 Employees,1998.0,$5 to $10 billion (USD),3.25,3.75,0,NASD
1044,1,121,2760000000.0,0,1340000.0,9.10,462.10,4.3,1001 to 5000 Employees,1987.0,$100 to $500 million (USD),4.3,5.0,0,NYSE
1045,1,76,601830000.0,1,163400.0,-59.80,6.71,3.4,51 to 200 Employees,2005.0,$50 to $100 million (USD),2.15,5.0,0,NASD
1046,0,54,1870000000.0,1,1600000.0,19.60,399.64,4.6,1001 to 5000 Employees,1996.0,$100 to $500 million (USD),4.15,5.0,0,NYSE
1047,1,101,6650000000.0,0,169820.0,848.96,360.19,4.7,51 to 200 Employees,1996.0,$100 to $500 million (USD),5.0,5.0,0,NYSE
1048,1,38,564430000.0,1,110540.0,848.96,150.48,4.9,51 to 200 Employees,1996.0,$100 to $500 million (USD),5.0,5.0,0,NASD
1049,1,84,176250000.0,1,283280.0,450.00,52.27,3.1,51 to 200 Employees,1996.0,$50 to $100 million (USD),2.35,5.0,0,NYSE
1050,0,1,1970000000.0,1,2600000.0,-15.50,1210.00,1.3,51 to 200 Employees,1996.0,$100 to $500 million (USD),0.3,5.0,0,NASD
1051,1,77,7870000000.0,1,584800.0,-21.20,6.90,3.5,10000+ Employees,1984.0,$2 to $5 billion (USD),3.15,4.1,0,NYSE
1052,1,68,1580000000.0,0,416520.0,-38.30,33.87,3.7,1001 to 5000 Employees,1997.0,$100 to $500 million (USD),3.05,3.6,0,NASD
1053,1,67,1160000000.0,1,183710.0,848.96,150.48,4.6,501 to 1000 Employees,1913.0,$500 million to $1 billion (USD),4.45,5.0,0,NYSE
1054,1,140,20910000000.0,1,1900000.0,-47.50,4.29,3.3,10000+ Employees,1987.0,$10+ billion (USD),2.8,5.0,1,NYSE
1055,1,80,68110000.0,0,327630.0,12.70,-6.90,3.8,51 to 200 Employees,2005.0,$5 to $10 million (USD),3.1,0.0,0,NASD
1056,1,59,106570000000.0,0,1270000.0,708.50,380.10,4.0,10000+ Employees,1946.0,$10+ billion (USD),3.95,4.7,1,NYSE
1057,1,38,16350000000.000002,0,4000000.0,-792.00,29.55,3.8,5001 to 10000 Employees,1954.0,$2 to $5 billion (USD),3.55,4.2,0,NYSE
1058,1,59,1390000000.0,0,507710.0,-65.90,18.15,3.9,1001 to 5000 Employees,1996.0,$10 to $25 million (USD),4.1,3.55,0,NYSE
1059,1,78,98240000.0,1,60560.0,-105.50,55.56,2.9,51 to 200 Employees,1995.0,$25 to $50 million (USD),2.6,5.0,0,AMEX
1060,1,17,174490000.0,0,1590000.0,35.50,5.20,3.4,1 to 50 Employees,1996.0,$100 to $500 million (USD),2.25,5.0,0,NASD
1061,0,138,3250000000.0,0,1880000.0,82.50,0.00,3.7,5001 to 10000 Employees,1996.0,$2 to $5 billion (USD),3.4,1.9,0,NYSE
1062,1,104,13780000000.0,1,843480.0,-18.50,12.15,3.6,1001 to 5000 Employees,1969.0,$500 million to $1 billion (USD),3.2,4.35,0,NYSE
1063,1,33,139830000.0,0,457880.0,46.70,324.50,4.0,501 to 1000 Employees,2014.0,$100 to $500 million (USD),3.95,4.35,0,NYSE
1064,1,72,6040000000.0,1,2460000.0,-263.40,212.50,3.8,1001 to 5000 Employees,1982.0,$1 to $2 billion (USD),3.25,4.05,0,NYSE
1065,1,118,274850000.0,1,1710000.0,-112.10,58.80,3.7,51 to 200 Employees,1996.0,$10 to $25 million (USD),5.0,5.0,0,AMEX
1066,1,44,6360000000.0,1,266650.0,-58.30,7.10,3.5,10000+ Employees,1996.0,$5 to $10 billion (USD),2.65,3.65,0,NYSE
1067,1,119,360960000.0,0,528660.0,-81.30,19.22,2.8,501 to 1000 Employees,1984.0,$50 to $100 million (USD),1.9,2.15,0,NASD
1068,1,23,15540000000.0,1,814860.0,-36.10,5.79,3.9,10000+ Employees,1920.0,$5 to $10 billion (USD),3.9,3.75,1,NYSE
1069,1,126,55650000000.0,0,2780000.0,-12.80,11.18,3.7,10000+ Employees,1890.0,$10+ billion (USD),3.7,4.65,1,NYSE
1070,0,87,80330000000.0,1,4220000.0,-44.00,14.46,3.9,10000+ Employees,1949.0,$10+ billion (USD),3.9,3.8,0,NYSE
