,Unnamed: 0,contry,Industry,Market_Cap,P_E,Avg_Volume,EPS_this_Y,EPS_next_Y,rating,Global_Company_Size,Founded,Revenue,Recommend_to_friend,Approve_of_CEO,inSNP500,Index,this_next_EPS,recomend_rating
83,83,1,121,183350000.0,0,118500,19.9,372.6,4.0,6,2005,2,3.65,3.4,0,1,392.5,7.65
84,84,1,17,103180000.0,0,3770000,-63.9,444.5,2.0,6,1996,6,0.0,5.0,0,1,380.6,2.0
85,85,1,65,10230000000.0,0,524600,178.1,293.0,4.0,4,1996,7,3.9,4.8,0,2,471.1,7.9
86,86,1,20,125440000.0,0,172040,178.1,326.5,3.3,2,2016,10,2.35,5.0,0,2,504.6,5.65
87,87,1,78,480870000.0,1,302380,178.1,425.7,3.6,6,1996,8,3.8,5.0,0,1,603.8,7.4
88,88,1,64,35370000000.0,0,3120000,50.7,410.8,3.8,4,1955,3,3.75,4.8,1,2,461.5,7.55
89,89,1,61,16930000000.0,0,2780000,6.5,349.8,4.4,5,2012,4,4.3,4.55,0,1,356.3,8.7
90,90,0,39,2500000000.0,0,221330,37.6,436.6,3.5,2,2019,4,3.15,5.0,0,1,474.20000000000005,6.65
91,91,0,120,4070000000.0,1,4300000,250.0,306.3,3.8,2,2002,4,3.9,4.15,0,2,556.3,7.699999999999999
92,92,1,46,9180000000.0,0,674060,320.7,331.4,3.8,1,1990,7,3.85,4.35,0,2,652.0999999999999,7.65
93,93,1,17,1160000000.0,0,5370000,32.1,352.5,3.4,3,1996,2,2.85,3.4,0,1,384.6,6.25
94,94,1,47,112170000.0,0,122360,20.4,327.7,3.4,3,1996,4,1.5,2.05,0,1,348.09999999999997,4.9
95,95,1,124,196220000.0,0,287570,-344.0,351.7,1.0,0,1996,4,0.0,5.0,0,1,7.699999999999989,1.0
96,96,0,54,3060000000.0,1,2430000,53.8,365.9,3.8,5,1996,10,3.55,4.35,0,2,419.7,7.35
97,97,1,17,3840000000.0,1,634740,30.8,352.1,3.9,3,2008,9,3.3,3.5,0,1,382.90000000000003,7.199999999999999
98,98,1,77,17000000000.0,0,1100000,-44.8,419.5,2.6,3,2016,4,1.55,1.55,0,2,374.7,4.15
99,99,1,17,312860000.0,0,161230,38.1,324.8,3.2,6,2013,8,2.25,3.55,0,1,362.90000000000003,5.45
100,100,1,33,1010000000.0,0,44270,178.1,343.5,4.7,6,1996,4,5.0,5.0,0,2,521.6,9.7
101,101,0,67,3370000000.0,0,563920,4.4,297.6,4.2,6,2001,0,3.7,5.0,0,2,302.0,7.9
102,102,1,140,15860000000.0,1,505650,45.2,389.4,3.3,4,2015,5,2.6,4.7,0,2,434.59999999999997,5.9
103,103,0,47,1250000000.0,1,1090000,153.3,370.0,3.9,2,2002,10,4.05,5.0,0,2,523.3,7.949999999999999
104,104,1,53,340580000.0,1,285780,620.5,317.3,4.3,5,1996,4,4.15,4.7,0,2,937.8,8.45
105,105,1,17,190300000.0,0,1230000,12.0,354.5,4.4,6,1999,11,5.0,5.0,0,1,366.5,9.4
106,106,1,56,3160000000.0,0,769700,36.3,339.2,3.3,2,1939,10,3.0,4.35,0,2,375.5,6.3
107,107,1,121,1260000000.0,0,131300,31.4,30.5,3.5,2,1963,4,3.3,3.75,0,1,61.9,6.8
108,108,1,78,3640000000.0,0,1420000,-225.5,25.2,2.4,2,1996,4,1.35,1.95,0,1,-200.3,3.75
109,109,1,98,1110000000.0,0,246040,125.2,-14.81,3.7,6,1979,6,3.15,5.0,0,2,110.39,6.85
110,110,1,78,15870000.0,0,228920,-42.9,0.0,2.0,3,1979,6,0.95,1.55,0,1,-42.9,2.95
111,111,1,100,762480000.0,0,29110000,100.2,99.4,3.6,2,1996,4,4.25,4.0,0,2,199.60000000000002,7.85
112,112,1,61,5730000000.0,0,3840000,400.2,498.5,4.5,5,2009,4,4.4,4.65,0,2,898.7,8.9
113,113,1,63,39860000000.0,1,4040000,435.2,14.58,3.6,1,1919,3,3.25,4.2,1,2,449.78,6.85
114,114,1,126,3810000000.0,1,319000,100.8,14.64,3.3,1,2004,0,2.95,4.0,0,1,115.44,6.25
115,115,1,131,2800000000.0,0,105250,26.7,285.63,4.3,2,1895,10,4.35,5.0,0,2,312.33,8.649999999999999
116,116,1,8,59050000.0,0,38790,825.3,96.21,3.6,2,1996,4,4.25,4.0,0,0,921.51,7.85
